year,full_tag,full_foa,tag,description
2023,R61 Mol Analysis,RFA-CA-23-002,R61,Mol Analysis
2023,R33 Mol Analysis,RFA-CA-23-003,R33,Mol Analysis
2023,R61 Biospec,RFA-CA-23-004,R61,Biospec
2023,R33 Biospec,RFA-CA-23-005,R33,Biospec
2022,R61 Mol Analysis,RFA-CA-22-001,R61,Mol Analysis
2022,R33 Mol Analysis,RFA-CA-22-002,R33,Mol Analysis
2022,R61 Biospec,RFA-CA-22-003,R61,Biospec
2022,R33 Biospec,RFA-CA-22-004,R33,Biospec
2021,R61 Mol Analysis,RFA-CA-21-003,R61,Mol Analysis
2021,R33 Mol Analysis,RFA-CA-21-004,R33,Mol Analysis
2021,R61 Biospec,RFA-CA-21-005,R61,Biospec
2021,R33 Biospec,RFA-CA-21-006,R33,Biospec
2020,R61 Mol Analysis,RFA-CA-20-017,R61,Mol Analysis
2020,R33 Mol Analysis,RFA-CA-20-018,R33,Mol Analysis
2020,R61 Biospec,RFA-CA-20-019,R61,Biospec
2020,R33 Biospec,RFA-CA-20-020,R33,Biospec
2019,R61 Mol Analysis,RFA-CA-19-019,R61,Mol Analysis
2019,R33 Mol Analysis,RFA-CA-19-020,R33,Mol Analysis
2019,R61 Biospec,RFA-CA-19-021,R61,Biospec
2019,R33 Biospec,RFA-CA-19-022,R33,Biospec
2018,R61 Mol Analysis,RFA-CA-18-002,R61,Mol Analysis
2018,R33 Mol Analysis,RFA-CA-18-003,R33,Mol Analysis
2018,R61 Biospec,RFA-CA-18-004,R61,Biospec
2018,R33 Biospec,RFA-CA-18-005,R33,Biospec
2018,SBIR,PAR-18-303,SBIR,SBIR
2017,R61 Mol Analysis,RFA-CA-17-010,R61,Mol Analysis
2017,R33 Mol Analysis,RFA-CA-17-011,R33,Mol Analysis
2017,R61 Biospec,RFA-CA-17-012,R61,Biospec
2017,R33 Biospec,RFA-CA-17-013,R33,Biospec
2016,R61 Mol Analysis,RFA-CA-16-001,R61,Mol Analysis
2016,R33 Mol Analysis,RFA-CA-16-002,R33,Mol Analysis
2016,R61 Biospec,RFA-CA-16-003,R61,Biospec
2016,R33 Biospec,RFA-CA-16-004,R33,Biospec
2015,R61 Mol Analysis,RFA-CA-15-002,R61,Mol Analysis
2015,R33 Mol Analysis,RFA-CA-15-003,R33,Mol Analysis
2015,R61 Biospec,RFA-CA-15-004,R61,Biospec
2015,R33 Biospec,RFA-CA-15-005,R33,Biospec
2014,R61 Mol Analysis,RFA-CA-14-003,R61,Mol Analysis
2014,R33 Mol Analysis,RFA-CA-14-004,R33,Mol Analysis
2014,R61 Biospec,RFA-CA-14-005,R61,Biospec
2014,R33 Biospec,RFA-CA-14-006,R33,Biospec
2013,R61 Mol Analysis,RFA-CA-13-001,R61,Mol Analysis
2013,R33 Mol Analysis,RFA-CA-13-002,R33,Mol Analysis
2013,R61 Biospec,RFA-CA-13-003,R61,Biospec
2013,R33 Biospec,RFA-CA-13-004,R33,Biospec
2013,SBIR,PAR-13-327,SBIR,SBIR
2012,R61 Mol Analysis,RFA-CA-12-002,R61,Mol Analysis
2012,R33 Mol Analysis,RFA-CA-12-003,R33,Mol Analysis
2012,R61 Biospec,RFA-CA-12-004,R61,Biospec
2012,R33 Biospec,RFA-CA-12-005,R33,Biospec
2023,R01,RFA-CA-23-006,NA,NA
2023,U01,RFA-CA-23-007,NA,NA
2023,U54,RFA-CA-23-008,NA,NA
2023,P01,RFA-CA-23-009,NA,NA
2023,P50,RFA-CA-23-010,NA,NA
2023,U2C,RFA-CA-23-011,NA,NA
2022,R01,RFA-CA-22-005,NA,NA
2022,U01,RFA-CA-22-006,NA,NA
2022,U54,RFA-CA-22-007,NA,NA
2022,P01,RFA-CA-22-008,NA,NA
2022,P50,RFA-CA-22-009,NA,NA
2022,U2C,RFA-CA-22-010,NA,NA
2021,R01,RFA-CA-21-007,NA,NA
2021,U01,RFA-CA-21-008,NA,NA
2021,U54,RFA-CA-21-009,NA,NA
2021,P01,RFA-CA-21-011,NA,NA
2021,P50,RFA-CA-21-012,NA,NA
2021,U2C,RFA-CA-21-010,NA,NA
2020,R01,RFA-CA-20-021,NA,NA
2020,U01,RFA-CA-20-022,NA,NA
2020,U54,RFA-CA-20-023,NA,NA
2020,P01,RFA-CA-20-024,NA,NA
2020,P50,RFA-CA-20-025,NA,NA
2020,U2C,RFA-CA-20-026,NA,NA
2019,R01,RFA-CA-19-023,NA,NA
2019,U01,RFA-CA-19-024,NA,NA
2019,U54,RFA-CA-19-025,NA,NA
2019,P01,RFA-CA-19-026,NA,NA
2019,P50,RFA-CA-19-027,NA,NA
2019,U2C,RFA-CA-19-028,NA,NA
2018,R01,RFA-CA-18-006,NA,NA
2018,U01,RFA-CA-18-007,NA,NA
2018,U54,RFA-CA-18-008,NA,NA
2018,P01,RFA-CA-18-009,NA,NA
2018,P50,RFA-CA-18-010,NA,NA
