full_foa,foa_tag,description
PAR-15-334,Innovative,Development of Innovative Informatics Methods and Algorithms for Cancer Research and Management (R21)
PAR-15-332,Early-Stage,Early-Stage Development of Informatics Technologies for Cancer Research and Management (U01)
PAR-15-331,Advanced,Advanced Development of Informatics Technologies for Cancer Research and Management (U24)
PAR-15-333,Sustained,Sustained Support for Informatics Resources for Cancer Research and Management (U24)
RFA-CA-23-014,Innovative,Development of Innovative Informatics Methods and Algorithms for Cancer Research and Management (R21 Clinical Trial Optional)
RFA-CA-23-015,Early-Stage,Early-Stage Development of Informatics Technologies for Cancer Research and Management  (U01 Clinical Trial Optional)
RFA-CA-23-016,Advanced,Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-23-017,Sustained,Sustained Support for Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-22-021,Innovative,Development of Innovative Informatics Methods and Algorithms for Cancer Research and Management (R21 Clinical Trial Optional)
RFA-CA-22-022,Early-Stage,Early-Stage Development of Informatics Technologies for Cancer Research and Management  (U01 Clinical Trial Optional)
RFA-CA-22-023,Advanced,Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-22-024,Sustained,Sustained Support for Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-21-013,Innovative,Development of Innovative Informatics Methods and Algorithms for Cancer Research and Management (R21 Clinical Trial Optional)
RFA-CA-21-014,Early-Stage,Early-Stage Development of Informatics Technologies for Cancer Research and Management  (U01 Clinical Trial Optional)
RFA-CA-21-015,Advanced,Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-21-016,Sustained,Sustained Support for Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-20-008,Early-Stage,Early-Stage Development of Informatics Technologies for Cancer Research and Management  (U01 Clinical Trial Optional)
RFA-CA-20-007,Innovative,Development of Innovative Informatics Methods and Algorithms for Cancer Research and Management (R21 Clinical Trial Optional)
RFA-CA-20-009,Advanced,Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-20-010,Sustained,Sustained Support for Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-19-039,Early-Stage,Early-Stage Development of Informatics Technologies for Cancer Research and Management  (U01 Clinical Trial Optional)
RFA-CA-19-038,Innovative,Development of Innovative Informatics Methods and Algorithms for Cancer Research and Management (R21 Clinical Trial Optional)
RFA-CA-19-040,Advanced,Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-19-041,Sustained,Sustained Support for Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional)
RFA-CA-19-042,Education,Informatics Technology for Cancer Research Education Resource (UE5 Clinical Trial Not Allowed)
PAR-13-294,Advanced,Advanced Development of Informatics Technology (U24)
PAR-12-287,Advanced,Advanced Development of Informatics Technology (U24)
PAR-12-288,Early-Stage,Early-Stage Development of Informatics Technology (U01)
